City,Weight,Latitude,Longitude
Abbeville,2,50.1060835,1.8337029
Agen,6,44.2015827,0.6176112
Aigle,1,46.3179006,6.9688929
Aigurande,2,46.4342921,1.8295876
Aime,4,45.5555869,6.6229794
Aix en Provence,13,43.5298424,5.4474738
Aix-les-Bains,43,45.6886292,5.9146362
Ajaccio,2,41.9263991,8.7376029
Albertville,9,45.6754622,6.3925417
Albi,21,43.9277552,2.147899
Alençon,7,48.4312059,0.0911374
Alès,4,44.1253665,4.0852818
Alfortville,1,48.8051624,2.4197113
Alpe d'Huez,5,45.092401,6.0699443
Altkirch,1,47.6238204,7.2401542
Amiens,22,49.8941708,2.2956951
Amorebieta-Etxano,1,43.2201761,-2.7323154
Amsterdam,1,52.3730796,4.8924534
Ancenis,1,47.3648141,-1.1816088
Andorre,10,42.5407167,1.5732033
Angers,38,47.4739884,-0.5515588
Angoulême,4,45.6484505,0.1561947
Annecy,9,45.8992348,6.1288847
Annemasse,2,46.1934005,6.2341093
Annonay Davézieux,1,45.2518462,4.6941932
Antibes,5,43.5812868,7.1262071
Anvers,3,51.2211097,4.3997081
Anvers Brasschaat,2,51.2900693,4.4917295
Aoste,2,45.7370885,7.3196649
Arbois,1,46.9032246,5.7727504
Arcachon,2,44.6616428,-1.1700018
Arc-et-Senans,2,47.0332329,5.7818173
Arenberg Porte du Hainaut,3,50.3841596,3.4268928
Argelès,2,43.0892755,0.1965086
Argentan,2,48.74289,-0.0223386
Arlon,1,49.6834601,5.8167711
Armentieres,1,50.6867281,2.882169
Arpajon,2,44.9034428,2.4570176
Arras Citadelle,4,50.2845382,2.7632184
Arras Communauté Urbaine,1,50.2801669,2.7875308
Aubagne,3,43.2924385,5.5703031
Aubenas,3,44.6205476,4.3902399
Auch,7,43.6463558,0.5850507
Aulnay-sous-Bois,2,48.934231,2.499789
Auray,1,47.6664485,-2.9833718
Aurillac,14,44.9285441,2.4433101
Autrans,1,45.176,5.54415
Autun,2,46.9510313,4.2989478
Auxerre,10,47.7961287,3.570579
Avesnes-sur-Helpe,1,50.1218835,3.9321056
Avignon,11,43.9492493,4.8059012
Avoriaz,6,46.1925439,6.7702857
Avranches,5,48.6862085,-1.3579476
Ax 3 Domaines,4,42.7005767,1.8152092
Ax-les-Thermes,13,42.7193011,1.83784
Bagnères-de-Bigorre,16,43.0658212,0.1530914
Bagnères-de-Luchon,8,42.7910617,0.5912279
Bagnoles-de-l'Orne,4,48.5539388,-0.4229186
Bâle,5,47.5581077,7.5878261
Ballon d'Alsace,4,47.8223547,6.8452273
Barcelone,8,41.3825802,2.177073
Barcelonnette,2,44.3862043,6.6513554
Bar-Le-Duc,1,48.7712673,5.1623805
Bastia,2,42.6993979,9.4509187
Bastogne,1,50.0023102,5.7173386
Bayeux,1,49.2764624,-0.7024738
Bayonne,62,43.4945144,-1.4736657
Bazas,1,44.4320456,-0.2126009
Beaulieu,1,47.7277699,4.7269377
Beauraing,1,50.0914415,4.964032
Beauvais,3,49.4300997,2.0823355
